,n_neighbors,min_dist,qij_score
137,17,0.05,1.6449122346418497
138,17,0.075,1.5167826235060744
139,17,0.1,1.5254099246940678
140,17,0.25,1.3850222592108645
141,17,0.5,1.17707743144637
142,17,0.75,1.109246277827788
143,17,1.0,1.097488177734549
144,18,0.01,1.6243447976850467
145,18,0.025,1.638048257775802
146,18,0.05,1.5188876213050664
147,18,0.075,1.6196857775018945
148,18,0.1,1.4854683950803809
149,18,0.25,1.3517478341975337
150,18,0.5,1.2247300655728992
151,18,0.75,1.1512446417540785
152,18,1.0,1.1179621279879957
153,19,0.01,1.6800652679859605
154,19,0.025,1.549915487155051
155,19,0.05,1.6050704632590822
156,19,0.075,1.5538901503624363
157,19,0.1,1.5831965865844797
158,19,0.25,1.388976658555488
159,19,0.5,1.2291597974789576
160,19,0.75,1.0828256158880176
161,19,1.0,1.070798923143096
162,20,0.01,1.6357562629215234
163,20,0.025,1.4582441273793094
164,20,0.05,1.4991150398675606
165,20,0.075,1.5201274953112112
166,20,0.1,1.515453576463191
167,20,0.25,1.2713338976254223
168,20,0.5,1.1899923879184602
169,20,0.75,1.1164297585540908
170,20,1.0,1.0493040051459177
171,21,0.01,1.6000871825811247
172,21,0.025,1.549537788703116
173,21,0.05,1.6532923404722988
174,21,0.075,1.554397847224985
175,21,0.1,1.569431841295593
176,21,0.25,1.3372567076596624
177,21,0.5,1.1858635202194447
178,21,0.75,1.080515554555462
179,21,1.0,1.070434394100075
180,22,0.01,1.7310141092981333
181,22,0.025,1.596506152216267
182,22,0.05,1.577011271526663
183,22,0.075,1.602890618418531
184,22,0.1,1.4254187726080083
185,22,0.25,1.3539854980005517
186,22,0.5,1.1680813513266797
187,22,0.75,1.1044127323809834
188,22,1.0,1.049573395539091
189,23,0.01,1.63759064103649
190,23,0.025,1.6841378263273095
191,23,0.05,1.5869964334920539
192,23,0.075,1.6157603648833918
193,23,0.1,1.5092078987681106
194,23,0.25,1.3877617074576456
195,23,0.5,1.2141036758140276
196,23,0.75,1.1208450877118779
197,23,1.0,1.0321108503270544
198,24,0.01,1.5357219070111725
199,24,0.025,1.7300313104510536
200,24,0.05,1.584048800707932
201,24,0.075,1.4721219258663352
202,24,0.1,1.4043472117808857
203,24,0.25,1.4755951640340026
204,24,0.5,1.1947541818082419
205,24,0.75,1.1066290886643424
206,24,1.0,1.0561464947167023
207,25,0.01,1.6193709760249755
208,25,0.025,1.5354741812854753
209,25,0.05,1.5343701090273587
210,25,0.075,1.5771649404870196
211,25,0.1,1.4790723184608758
212,25,0.25,1.4600887730708578
213,25,0.5,1.1969702591716054
214,25,0.75,1.100378880154385
215,25,1.0,1.0527509707782023
216,26,0.01,1.5940617755763231
217,26,0.025,1.599587737255887
218,26,0.05,1.6053034855908939
219,26,0.075,1.5976948037270766
220,26,0.1,1.5359270327821761
221,26,0.25,1.3699850910065443
222,26,0.5,1.1547733745923399
223,26,0.75,1.0942527348697766
224,26,1.0,1.0507380336660068
225,27,0.01,1.629294055874026
226,27,0.025,1.605698320483456
227,27,0.05,1.6421005430244522
228,27,0.075,1.5306834848039683
229,27,0.1,1.51256468034833
230,27,0.25,1.3923186817942668
231,27,0.5,1.1906063385833976
232,27,0.75,1.099855337230239
233,27,1.0,1.0927003381912481
234,28,0.01,1.6941096763571082
235,28,0.025,1.6079086225343326
236,28,0.05,1.6123826571390119
237,28,0.075,1.5797702657463306
238,28,0.1,1.5093459167906502
239,28,0.25,1.4907121798584493
240,28,0.5,1.1944418095448484
241,28,0.75,1.0754409574693256
242,28,1.0,1.0693262771818848
243,29,0.01,1.5691907323909353
244,29,0.025,1.5573264828901419
245,29,0.05,1.5956113986111164
246,29,0.075,1.460309048699897
247,29,0.1,1.5012852399990697
248,29,0.25,1.4323219888311387
249,29,0.5,1.119218287336973
250,29,0.75,1.0984624683738735
251,29,1.0,1.0566235477302612
252,30,0.01,1.7734441106572767
253,30,0.025,1.4869282855450763
254,30,0.05,1.5094526995716002
255,30,0.075,1.5981675227526333
256,30,0.1,1.4573537770402796
257,30,0.25,1.3294845135637532
258,30,0.5,1.1473097374292776
259,30,0.75,1.1115974672135573
260,30,1.0,1.0646220353290916
261,31,0.01,1.5609985624167804
262,31,0.025,1.543875253779687
263,31,0.05,1.634392226515918
264,31,0.075,1.4388578576836322
265,31,0.1,1.5211532515139137
266,31,0.25,1.3319544746417318
267,31,0.5,1.1397335588908
268,31,0.75,1.0644249245892192
269,31,1.0,1.048417220109715
270,32,0.01,1.6250560322190983
271,32,0.025,1.5270838183651287
272,32,0.05,1.5093016499288616
273,32,0.075,1.5267760827519048
274,32,0.1,1.5018781336067697
275,32,0.25,1.3777920470484055
276,32,0.5,1.1423457056225281
277,32,0.75,1.0420641951782619
278,32,1.0,1.0773732116594559
279,33,0.01,1.6049758033292703
280,33,0.025,1.6156370952398502
281,33,0.05,1.4915920448366773
282,33,0.075,1.620739488191563
283,33,0.1,1.5197036655744585
284,33,0.25,1.321760193207421
285,33,0.5,1.1820722717983125
286,33,0.75,1.0804697673514676
287,33,1.0,1.051323311047219
288,34,0.01,1.637658485650845
289,34,0.025,1.5463067251341478
290,34,0.05,1.5222431307931155
291,34,0.075,1.4489180439841798
292,34,0.1,1.5745128942096436
293,34,0.25,1.3707670743949594
294,34,0.5,1.083715951703315
295,34,0.75,1.0577805006304697
296,34,1.0,1.0358535547943495
297,35,0.01,1.5987173730030424
298,35,0.025,1.485570555035891
