,n_neighbors,min_dist,qij_score
0,2,0.01,0.06596186927520797
1,2,0.025,0.06321708266429837
2,2,0.05,0.015391297848759145
3,2,0.075,0.02823818207476414
4,2,0.1,0.026099869619903515
5,2,0.25,-0.010536237332474663
6,2,0.5,0.019543791030860014
7,2,0.75,0.0775148953178979
8,2,1.0,0.06590092712998885
9,3,0.01,1.0047216548554294
10,3,0.025,0.9849301271808928
11,3,0.05,0.9916895329770306
12,3,0.075,0.9611797051340716
13,3,0.1,0.9817475700510085
14,3,0.25,1.0528090240576935
15,3,0.5,0.9999691007248908
16,3,0.75,0.9197559096486669
17,3,1.0,0.9293415280218698
18,4,0.01,1.3167892681917595
19,4,0.025,1.258806812257622
20,4,0.05,1.3101913243982644
21,4,0.075,1.2958988778331442
22,4,0.1,1.2433885017544508
23,4,0.25,1.213719269308255
24,4,0.5,1.153085791714263
25,4,0.75,1.0659934355943612
26,4,1.0,1.072771420824779
27,5,0.01,1.365464358974977
28,5,0.025,1.3743227289313218
29,5,0.05,1.3245336023819823
30,5,0.075,1.2892452306372295
31,5,0.1,1.2716390505254997
32,5,0.25,1.214715677619548
33,5,0.5,1.1775615470994563
34,5,0.75,1.0408000997237865
35,5,1.0,1.0305461017349034
36,6,0.01,1.3108202480305238
37,6,0.025,1.3221751458756597
38,6,0.05,1.2905903256287807
39,6,0.075,1.05181986575644
40,6,0.1,1.2517925700671322
41,6,0.25,1.030344424483145
42,6,0.5,1.0227679567297345
43,6,0.75,1.0207196271477557
44,6,1.0,0.9981330920340721
45,7,0.01,1.3450305221154606
46,7,0.025,1.3299882726963954
47,7,0.05,1.3958767497878188
48,7,0.075,1.38708284950056
49,7,0.1,1.2962807450080769
50,7,0.25,1.22063349056321
51,7,0.5,1.1162063945147933
52,7,0.75,1.0397434918308939
53,7,1.0,1.0715158545782169
54,8,0.01,1.3798304941947332
55,8,0.025,1.3721968928838884
56,8,0.05,1.3609673110856262
57,8,0.075,1.3011501771750487
58,8,0.1,1.3201695411152112
59,8,0.25,1.2282460121341803
60,8,0.5,1.1508230507436261
61,8,0.75,1.1180163744551415
62,8,1.0,1.0985060845708423
63,9,0.01,1.3913899583475935
64,9,0.025,1.3858664206603422
65,9,0.05,1.3500311551002042
66,9,0.075,1.346703884820454
67,9,0.1,1.3449189060551499
68,9,0.25,1.2898442881319356
69,9,0.5,1.1317062081993976
70,9,0.75,1.1078529804990511
71,9,1.0,1.0614505099499576
72,10,0.01,1.342191720544327
73,10,0.025,1.3463424153988557
74,10,0.05,1.3302984733046888
75,10,0.075,1.3093061738586922
76,10,0.1,1.2876953719678266
77,10,0.25,1.206357813292315
78,10,0.5,1.087031986431529
79,10,0.75,1.0437038531507596
80,10,1.0,1.0521826728110524
81,11,0.01,1.3847596663095167
82,11,0.025,1.3670246260997896
83,11,0.05,1.339337496116734
84,11,0.075,1.308590486621239
85,11,0.1,1.2565823404780732
86,11,0.25,1.230027019847343
87,11,0.5,1.1053687567308215
88,11,0.75,1.0618215906574733
89,11,1.0,1.0462238006842055
90,12,0.01,1.3947380767994
91,12,0.025,1.3359393609720671
92,12,0.05,1.3536657499715448
93,12,0.075,1.303311745020352
94,12,0.1,1.295513547992587
95,12,0.25,1.2205029977519288
96,12,0.5,1.1391343600032986
97,12,0.75,1.075552259123688
98,12,1.0,1.055659591564373
99,13,0.01,1.3738511457847755
100,13,0.025,1.3233038322448252
101,13,0.05,1.3598759013142319
102,13,0.075,1.3021927764199255
103,13,0.1,1.255091230957122
104,13,0.25,1.2052030443920847
105,13,0.5,1.122879596098798
106,13,0.75,1.0683531906757153
107,13,1.0,1.0478700175712206
108,14,0.01,1.3556541526138757
109,14,0.025,1.3569177746541827
110,14,0.05,1.3250481569976387
111,14,0.075,1.2817155047850353
112,14,0.1,1.3336016127083834
113,14,0.25,1.2137087666423128
114,14,0.5,1.124060932271175
115,14,0.75,1.065639321342183
116,14,1.0,1.051740953296047
117,15,0.01,1.451899952623334
118,15,0.025,1.4342661734516549
119,15,0.05,1.3574271911293971
120,15,0.075,1.3003254946344098
121,15,0.1,1.304459829742398
122,15,0.25,1.1906029097053574
123,15,0.5,1.0993918823111795
124,15,0.75,1.04919307324651
125,15,1.0,1.0591468459278381
126,16,0.01,1.3800606503462447
127,16,0.025,1.3602791528445675
128,16,0.05,1.3629850282108338
129,16,0.075,1.2967486901412046
130,16,0.1,1.288040283536481
131,16,0.25,1.2310210926176568
132,16,0.5,1.1079111803494088
133,16,0.75,1.066183496802589
134,16,1.0,1.0465273479896853
135,17,0.01,1.3795885895228457
136,17,0.025,1.3461051808618345
137,17,0.05,1.3131064793837277
138,17,0.075,1.3582420170324188
139,17,0.1,1.268464092836175
140,17,0.25,1.2079921732422516
141,17,0.5,1.1113518619484752
142,17,0.75,1.0695793867598198
143,17,1.0,1.0511830104811049
144,18,0.01,1.348500394270217
145,18,0.025,1.3374411983095582
146,18,0.05,1.3667224138998328
147,18,0.075,1.2734972838591991
148,18,0.1,1.2668754358965213
149,18,0.25,1.2465741125697543
150,18,0.5,1.1147890067662685
151,18,0.75,1.0686381781031464
152,18,1.0,1.0585050606008313
153,19,0.01,1.3936533640336526
154,19,0.025,1.3954644323971426
155,19,0.05,1.3313444535244994
156,19,0.075,1.3457864401438995
157,19,0.1,1.31420320019288
158,19,0.25,1.1885399425122314
159,19,0.5,1.116589577941487
160,19,0.75,1.0578291056176194
161,19,1.0,1.0507833708496381
162,20,0.01,1.3858916243372192
163,20,0.025,1.3730129240629605
164,20,0.05,1.3367154878006309
165,20,0.075,1.3468774423042236
166,20,0.1,1.2801318611262973
167,20,0.25,1.1855896816813045
168,20,0.5,1.1026504949154914
169,20,0.75,1.08514325679828
170,20,1.0,1.05425149254918
171,21,0.01,1.3814860044111796
172,21,0.025,1.325235119102988
173,21,0.05,1.3622032289355763
174,21,0.075,1.3056195976369134
175,21,0.1,1.3021817085999565
176,21,0.25,1.1740330521398485
177,21,0.5,1.1110869823485228
178,21,0.75,1.0701872492299271
179,21,1.0,1.045113155501884
180,22,0.01,1.4167541302144455
181,22,0.025,1.387207628494588
182,22,0.05,1.3207556499188096
183,22,0.075,1.3071865433805057
184,22,0.1,1.2776178930476272
185,22,0.25,1.1984898661348273
186,22,0.5,1.1108319964537143
187,22,0.75,1.0729584455517287
188,22,1.0,1.0652835800752047
189,23,0.01,1.3397707693535867
190,23,0.025,1.3546369612453946
191,23,0.05,1.3762214072831078
192,23,0.075,1.3247900604332408
193,23,0.1,1.2773393680393683
194,23,0.25,1.1828135053682303
195,23,0.5,1.0936043372215458
196,23,0.75,1.0707991792283442
197,23,1.0,1.0569389086070338
198,24,0.01,1.3393715226047718
199,24,0.025,1.3673493134183312
200,24,0.05,1.3173568918233984
201,24,0.075,1.2674614878632715
202,24,0.1,1.2596852614738383
203,24,0.25,1.1847405020162398
204,24,0.5,1.1004150559113066
205,24,0.75,1.0670984453176287
206,24,1.0,1.0583644049331955
207,25,0.01,1.302611051660132
208,25,0.025,1.3411133974880851
209,25,0.05,1.262204989679372
210,25,0.075,1.306160044492767
211,25,0.1,1.2368781697186222
212,25,0.25,1.1846321747851247
213,25,0.5,1.0926502415238986
214,25,0.75,1.0618267662281884
215,25,1.0,1.0270202573250673
216,26,0.01,1.362198067319854
217,26,0.025,1.3213655651274694
218,26,0.05,1.326332522027398
219,26,0.075,1.3094169256355865
220,26,0.1,1.2540151061264053
221,26,0.25,1.171509785104793
222,26,0.5,1.091071340695554
223,26,0.75,1.0605940051492793
224,26,1.0,1.0520696960338451
225,27,0.01,1.346916569996778
226,27,0.025,1.307366058247604
227,27,0.05,1.3286509139365146
228,27,0.075,1.2851814700574762
229,27,0.1,1.2701977396585553
230,27,0.25,1.1543533392226077
231,27,0.5,1.077494246699569
232,27,0.75,1.0550079385496067
233,27,1.0,1.055336367087289
234,28,0.01,1.3011338819013138
235,28,0.025,1.4056224015354637
236,28,0.05,1.2670322029101477
237,28,0.075,1.2780298113776851
238,28,0.1,1.2191783328792134
239,28,0.25,1.1535040672351977
240,28,0.5,1.0929940348993528
241,28,0.75,1.0500204926965573
242,28,1.0,1.0587898759078866
243,29,0.01,1.3220637180292591
244,29,0.025,1.3123726011075982
245,29,0.05,1.3109021598109756
246,29,0.075,1.302824519328209
247,29,0.1,1.2792359105588247
248,29,0.25,1.1824886317613172
249,29,0.5,1.08521140498505
250,29,0.75,1.0654458647269855
251,29,1.0,1.0425472803416511
252,30,0.01,1.351106194663199
253,30,0.025,1.3098215036858774
254,30,0.05,1.3015237533675847
255,30,0.075,1.2917468227313336
256,30,0.1,1.2453023215816277
257,30,0.25,1.168200719173445
258,30,0.5,1.084349585254066
259,30,0.75,1.0438919880018842
260,30,1.0,1.0257539978873513
261,31,0.01,1.332685439115334
262,31,0.025,1.2907789830166783
263,31,0.05,1.2853123552444838
264,31,0.075,1.2601347911829777
265,31,0.1,1.2817087051221936
266,31,0.25,1.1602285452217451
267,31,0.5,1.0864667284378653
268,31,0.75,1.0669482592468889
269,31,1.0,1.046536297788422
270,32,0.01,1.3092904922427584
271,32,0.025,1.31843232820348
272,32,0.05,1.2460291788494624
273,32,0.075,1.2594838089327167
274,32,0.1,1.218795005776209
275,32,0.25,1.1393626391729352
276,32,0.5,1.0867350538102851
277,32,0.75,1.064750849545435
278,32,1.0,1.0626259222649521
279,33,0.01,1.3026780370674427
280,33,0.025,1.2907989015136412
281,33,0.05,1.2741308747842757
282,33,0.075,1.2603027336129804
283,33,0.1,1.2528521472937824
284,33,0.25,1.12836349810219
285,33,0.5,1.064767193929928
286,33,0.75,1.0485849388833985
287,33,1.0,1.0279172231105385
288,34,0.01,1.309571199618964
289,34,0.025,1.2736481548732579
290,34,0.05,1.3069250284561713
291,34,0.075,1.2761101321893724
292,34,0.1,1.2082661655132219
293,34,0.25,1.154550306291796
294,34,0.5,1.0840366585967782
295,34,0.75,1.0543337041691752
296,34,1.0,1.0360821378882523
297,35,0.01,1.3699163154007046
298,35,0.025,1.3425945800000658
299,35,0.05,1.3294263638616375
300,35,0.075,1.2497212063070426
301,35,0.1,1.2709309096711676
302,35,0.25,1.1489040774048371
303,35,0.5,1.100782359370161
304,35,0.75,1.0495333024656741
305,35,1.0,1.036519373970319
306,36,0.01,1.344931277905764
307,36,0.025,1.2945093320881949
308,36,0.05,1.2625212402806358
309,36,0.075,1.264916138057596
310,36,0.1,1.259396450719903
311,36,0.25,1.1543998087464988
312,36,0.5,1.0770361577845113
313,36,0.75,1.065606507491811
314,36,1.0,1.0434611093313455
315,37,0.01,1.3386553713020124
316,37,0.025,1.27460189176335
317,37,0.05,1.2620777614070393
318,37,0.075,1.2387812262709197
319,37,0.1,1.221835687740418
320,37,0.25,1.1254580667908467
321,37,0.5,1.0829457165494425
322,37,0.75,1.0496463392246822
323,37,1.0,1.0417034820282494
324,38,0.01,1.3137762754379354
325,38,0.025,1.2954471526023221
326,38,0.05,1.2918639907174425
327,38,0.075,1.2631904597257089
328,38,0.1,1.2486044245784491
329,38,0.25,1.170159075558912
330,38,0.5,1.0934516027035626
331,38,0.75,1.0602015470585098
332,38,1.0,1.0456606858114013
333,39,0.01,1.346644205453793
334,39,0.025,1.2974670969416442
335,39,0.05,1.2869265430911074
336,39,0.075,1.274809859810417
337,39,0.1,1.2681820986411667
338,39,0.25,1.168596563409598
339,39,0.5,1.0853574617332855
340,39,0.75,1.0608619001166995
