,n_neighbors,min_dist,qij_score
0,2,0.01,0.125667459791579
1,2,0.025,0.1394681632962369
2,2,0.05,0.1215031550943344
3,2,0.075,0.21718538121338593
4,2,0.1,0.12277775597289864
5,2,0.25,0.13140866946719054
6,2,0.5,0.16628259870766193
7,2,0.75,0.06595001533948697
8,2,1.0,0.1607941045533252
9,3,0.01,1.0717036169634024
10,3,0.025,1.1421324734002845
11,3,0.05,1.0993938291831071
12,3,0.075,1.0920870096896955
13,3,0.1,1.0699178499168198
14,3,0.25,1.047384765042299
15,3,0.5,0.9405363767597628
16,3,0.75,0.9511098159456033
17,3,1.0,0.8204109125956132
18,4,0.01,1.2139532898405099
19,4,0.025,1.2522292839153035
20,4,0.05,1.2705103311934787
21,4,0.075,1.2267406916556363
22,4,0.1,1.2141961264356071
23,4,0.25,1.077015089170672
24,4,0.5,1.0430757584717307
25,4,0.75,0.9853139321468243
26,4,1.0,0.9573065215838046
27,5,0.01,1.2636423582859555
28,5,0.025,1.2476365366033866
29,5,0.05,1.181546805371199
30,5,0.075,1.2317891119153872
31,5,0.1,1.2242801166078738
32,5,0.25,1.1166356613964101
33,5,0.5,0.9939528613158783
34,5,0.75,1.0419358237536107
35,5,1.0,0.8861215489412837
36,6,0.01,1.2396486099329849
37,6,0.025,1.2969248169788683
38,6,0.05,1.2531283015410803
39,6,0.075,1.184340754820675
40,6,0.1,1.2367725261564857
41,6,0.25,1.1198925404782516
42,6,0.5,0.9975646923432286
43,6,0.75,0.9534683438205231
44,6,1.0,0.9570277244721357
45,7,0.01,1.286478127058226
46,7,0.025,1.2908467714529195
47,7,0.05,1.2853900105257763
48,7,0.075,1.2431744009256631
49,7,0.1,1.247068062172409
50,7,0.25,1.1046111266757705
51,7,0.5,0.9906107463909333
52,7,0.75,0.949057514852421
53,7,1.0,0.9203407742467951
54,8,0.01,1.2911061386823235
55,8,0.025,1.2544540355777105
56,8,0.05,1.2369758088331757
57,8,0.075,1.2431783697206784
58,8,0.1,1.2334894656811706
59,8,0.25,1.1924923721118441
60,8,0.5,1.0417455766167656
61,8,0.75,0.9407343259884788
62,8,1.0,0.9268775846576931
63,9,0.01,1.3153039246003324
64,9,0.025,1.2933991793709083
65,9,0.05,1.2961998855400276
66,9,0.075,1.2595029461113754
67,9,0.1,1.2215831977758826
68,9,0.25,1.1326190114294237
69,9,0.5,1.035912394992021
70,9,0.75,0.9611731127311396
71,9,1.0,0.9343140811851116
72,10,0.01,1.3370697541132017
73,10,0.025,1.3219130850853649
74,10,0.05,1.3155321654533116
75,10,0.075,1.2794820295847344
76,10,0.1,1.241735905402825
77,10,0.25,1.1704389003779223
78,10,0.5,1.0196585879927005
79,10,0.75,0.9473475979411292
80,10,1.0,0.9621691619831516
81,11,0.01,1.289526878283704
82,11,0.025,1.2618299082230227
83,11,0.05,1.275167161440785
84,11,0.075,1.2739369030615428
85,11,0.1,1.2511710242515086
86,11,0.25,1.1627958581957643
87,11,0.5,1.0390879341287471
88,11,0.75,0.9495865351231778
89,11,1.0,0.9292640481781183
90,12,0.01,1.3389874111936892
91,12,0.025,1.2960195310240286
92,12,0.05,1.2972818878146786
93,12,0.075,1.2987513170588585
94,12,0.1,1.16862859803783
95,12,0.25,1.127165723798055
96,12,0.5,1.0012955959983492
97,12,0.75,0.9571857309745821
98,12,1.0,0.9313621723059322
99,13,0.01,1.2772414759852309
100,13,0.025,1.2754380204297524
101,13,0.05,1.2983305945216594
102,13,0.075,1.2610949321732026
103,13,0.1,1.2062077356791807
104,13,0.25,1.1124133623287182
105,13,0.5,0.997335303335003
106,13,0.75,1.0030109861555765
107,13,1.0,0.9314842361224613
108,14,0.01,1.3121037490796574
109,14,0.025,1.2417901552443356
110,14,0.05,1.2917780596269202
111,14,0.075,1.2048673130917322
112,14,0.1,1.2183077687517176
113,14,0.25,1.119426743906561
114,14,0.5,0.9688181852773532
115,14,0.75,0.9575365885511973
116,14,1.0,0.9419354989914135
117,15,0.01,1.314139702239121
118,15,0.025,1.2534711358343138
119,15,0.05,1.2437707806045948
120,15,0.075,1.2549504379267944
121,15,0.1,1.246933022995706
122,15,0.25,1.1859529973723308
123,15,0.5,0.9791169952594885
124,15,0.75,0.9392615799888429
125,15,1.0,0.9390275665613492
126,16,0.01,1.271794579795543
127,16,0.025,1.2904383073369834
128,16,0.05,1.2172755426255266
129,16,0.075,1.2622138889101793
130,16,0.1,1.1717790458738886
131,16,0.25,1.1006443995621629
132,16,0.5,0.9763518034516938
133,16,0.75,0.9417310724602315
134,16,1.0,0.9413388612644029
135,17,0.01,1.3027307808557316
136,17,0.025,1.2432197829244922
137,17,0.05,1.2734414670275687
138,17,0.075,1.2142836663074226
139,17,0.1,1.1902388393153274
140,17,0.25,1.0988239763266998
141,17,0.5,0.9801596588627639
142,17,0.75,0.9473891701626131
143,17,1.0,0.9334795595991645
144,18,0.01,1.2477961984319732
145,18,0.025,1.3075381120680927
146,18,0.05,1.2434636016534864
147,18,0.075,1.2424959082951315
148,18,0.1,1.26008526272531
149,18,0.25,1.1004112044988164
150,18,0.5,0.9887973784218982
151,18,0.75,0.9475893560026387
152,18,1.0,0.9412896516693365
153,19,0.01,1.2922000723020899
154,19,0.025,1.286898447772919
155,19,0.05,1.2115947511021918
156,19,0.075,1.209312553138104
157,19,0.1,1.1987057576466942
158,19,0.25,1.048807547472543
159,19,0.5,0.964976870925156
160,19,0.75,0.9425783673953161
161,19,1.0,0.9383796957994468
162,20,0.01,1.3661764319788423
163,20,0.025,1.288258140518927
164,20,0.05,1.2212523822545158
165,20,0.075,1.1396479896779166
166,20,0.1,1.2106079817522826
167,20,0.25,1.0736918824144812
168,20,0.5,0.9674424707210107
169,20,0.75,0.9406016367602934
170,20,1.0,0.9316152387766392
171,21,0.01,1.2959053169621022
172,21,0.025,1.2954537618982078
173,21,0.05,1.2412052244368175
174,21,0.075,1.2490680706613775
175,21,0.1,1.2823824346580626
176,21,0.25,1.1169824457704944
177,21,0.5,0.9702496822514517
178,21,0.75,0.9638205548485219
179,21,1.0,0.9262688743790495
180,22,0.01,1.2218411260021504
