,auc_rnx,pearsonr,cca_stress,mds_isotonic,sammon_nlm,n_neighbors,min_dist
1056,0.40481961213797923,0.4493488163135205,779214.5393625973,0.8748975757131222,0.4789850427002315,276,0.09999999999999999
1057,0.4098411895934542,0.48565861119114695,705169.6196361051,0.8579228407824748,0.47097840451062806,276,0.21544346900318836
1058,0.40368719402602277,0.5755208904190654,656543.130707761,0.8037287198215332,0.41412110705744803,276,0.46415888336127786
1059,0.37354884759384116,0.5877067289763636,647962.320797313,0.7969793967844658,0.40182713445108637,276,1.0
1060,0.3981517516424038,0.4467394756894419,804271.4376088048,0.8773942582303553,0.496287499790498,284,0.0010000000000000007
1061,0.39950642518476803,0.41900529103533746,814320.2757232587,0.8905822106917297,0.5114903790519768,284,0.002154434690031885
1062,0.4088467400648471,0.4686763384276737,773916.7047459146,0.8680939399647154,0.5011464351084247,284,0.004641588833612782
1063,0.4047653993154491,0.45536318247585467,820353.5666336587,0.873613873879623,0.5014468632946107,284,0.009999999999999998
1064,0.4025412091405461,0.4377293533547035,789542.6680167377,0.8814821498591179,0.4967986610521639,284,0.021544346900318843
1065,0.4034871372927485,0.41949738674018,802179.9528943871,0.8912863852374535,0.5090016675050221,284,0.0464158883361278
1066,0.4139117005058242,0.5098385492380049,729559.2630795969,0.845296557738963,0.4701200943046227,284,0.09999999999999999
1067,0.40385242277326194,0.47626363176597586,779543.3585616655,0.8622940938661774,0.4723114190734685,284,0.21544346900318836
1068,0.40361552599277123,0.5846113136190287,639469.165012701,0.7981852721219057,0.41060115835411676,284,0.46415888336127786
1069,0.3639048832496931,0.5298914523729609,689846.7498351011,0.8352756046923091,0.42212757743860685,284,1.0
1070,0.4074304341536562,0.498668155436115,742727.757728948,0.8505450141470762,0.47708301081366045,292,0.0010000000000000007
1071,0.4073186872875225,0.47795161581949286,762905.845417016,0.8623445450844356,0.491676253797801,292,0.002154434690031885
1072,0.4099226392869103,0.5040779748834499,743434.6325003296,0.8475406390335373,0.4757348447949543,292,0.004641588833612782
1073,0.40819061460675277,0.4757344025656975,781779.8037675975,0.8629039095155742,0.4928183820975564,292,0.009999999999999998
1074,0.4093286354974735,0.47569421638864307,770653.2944010308,0.8642576390633586,0.49802714783810115,292,0.021544346900318843
1075,0.4107795419258858,0.49136252564098293,747986.7765290015,0.8555512897541339,0.4848412267242519,292,0.0464158883361278
1076,0.40742085022827584,0.4910231607493638,745024.2641934885,0.8550766050022377,0.4771555107011354,292,0.09999999999999999
1077,0.4136246006884499,0.5446443365713705,690498.8427026875,0.8233022766308863,0.43950225698227935,292,0.21544346900318836
1078,0.39858094986070775,0.5753786222148213,647014.3671320248,0.8041437644071266,0.4141912411089439,292,0.46415888336127786
1079,0.37434788832986987,0.5973253639141398,635017.0080711485,0.7901999213454991,0.4003270329355048,292,1.0
1080,0.4023718478198944,0.41437928557914827,838470.8442546835,0.89362490726559,0.5203566082839776,301,0.0010000000000000007
1081,0.4066237316092602,0.4563190977431365,779461.3156502887,0.8745952691004028,0.5102400543894204,301,0.002154434690031885
1082,0.4015164053049155,0.4189176829926555,839276.7952025131,0.8921734124029773,0.5233852609759524,301,0.004641588833612782
1083,0.3992234379550402,0.3883203187933345,832386.9462997554,0.9051930139438107,0.536616110497598,301,0.009999999999999998
1084,0.41065608237674417,0.4908829459520746,758357.3981071245,0.8561398670357216,0.4875024471623106,301,0.021544346900318843
1085,0.41350015646016874,0.5022134243267871,748766.6227851748,0.8492667555825881,0.47651458923394396,301,0.0464158883361278
1086,0.41380455793175713,0.48473528916265274,745298.5131534599,0.8589710482681499,0.4816094545418996,301,0.09999999999999999
1087,0.41380507952624057,0.5385268494312387,696067.6615240845,0.8271181766340248,0.4426273490736183,301,0.21544346900318836
1088,0.3916310225949934,0.5029271031655851,732311.3961252505,0.8482570547369083,0.42411652678232514,301,0.46415888336127786
1089,0.36193924526821847,0.5336555321576757,702849.641911691,0.833510707471655,0.4144073640183167,301,1.0
1090,0.3989664418552532,0.3884048901720195,827349.0052164649,0.9050540131553142,0.5362757693652948,309,0.0010000000000000007
1091,0.39721749998758116,0.41756211975297314,803118.2539787467,0.8905154303134198,0.5036956247418563,309,0.002154434690031885
1092,0.402306864159979,0.45440396017981455,821115.5340147882,0.8728565305646651,0.4993492414779436,309,0.004641588833612782
1093,0.3959818030928131,0.40544212275653513,825464.1745358203,0.8963946703524406,0.5177199228554713,309,0.009999999999999998
1094,0.4014922559791877,0.4093608998718468,814985.001478393,0.895946449888404,0.5210468457607886,309,0.021544346900318843
1095,0.4085924939827856,0.47740322116460393,759712.8137630721,0.8627126400214071,0.4900986447527659,309,0.0464158883361278
1096,0.40176016649567087,0.4483774475643116,759557.6587465059,0.8751529152242075,0.4740768426682089,309,0.09999999999999999
1097,0.40293499874455124,0.43392917457529356,763627.7255932773,0.8839188446448437,0.4818351979168892,309,0.21544346900318836
1098,0.39317288259838795,0.5418255392119172,716725.2776956826,0.8245224752381031,0.42425647237179503,309,0.46415888336127786
1099,0.3604369861883073,0.5315052916486431,708893.5529452492,0.8344442019205548,0.40818673551147305,309,1.0
1100,0.4035076382546246,0.48809956757492245,758769.4516944798,0.8559761513504335,0.48012644009205163,318,0.0010000000000000007
1101,0.4051867732054777,0.4903213331834321,762327.5681863416,0.8557552673107656,0.48528502828150183,318,0.002154434690031885
1102,0.4051825742447986,0.4728887242176557,767178.4170333035,0.8648127285559696,0.49201828457201024,318,0.004641588833612782
1103,0.40762509264949237,0.5105437017614538,741320.1073796692,0.8439307780515116,0.46988503458109565,318,0.009999999999999998
1104,0.4101253631303638,0.5068022408195301,746362.2203918505,0.8470299716211704,0.4764500370845682,318,0.021544346900318843
1105,0.4061039172229617,0.45133079745414406,788146.2337096462,0.8772375296176742,0.5102409196078732,318,0.0464158883361278
1106,0.4105035239931368,0.49548673737496124,745597.407846064,0.8528998157490549,0.47673645922152824,318,0.09999999999999999
1107,0.40808345084476944,0.5381661764713316,697146.5707741565,0.8276650147833117,0.4427896418917074,318,0.21544346900318836
1108,0.39866334483708465,0.5783940665087871,649467.9558704211,0.8023108182482376,0.4150781877618694,318,0.46415888336127786
1109,0.3701992833197988,0.6023901720632578,633714.0792255301,0.7869137726913917,0.39846975328068357,318,1.0
1110,0.4021203254511394,0.4140858954965911,814127.1389174531,0.8934406385214527,0.5166650953408983,328,0.0010000000000000007
