,n_neighbors,min_dist,qij_score
103,13,0.1,1.930324498513972
104,13,0.25,1.7713904556521092
105,13,0.5,1.6089227473899692
106,13,0.75,1.4614898190395262
107,13,1.0,1.3315682809621876
108,14,0.01,2.0350436624316703
109,14,0.025,2.0375998280402126
110,14,0.05,2.000968306497705
111,14,0.075,1.9675827884293096
112,14,0.1,1.934675376914667
113,14,0.25,1.7781092894385173
114,14,0.5,1.5827365661135406
115,14,0.75,1.446252623582704
116,14,1.0,1.2872690603458894
117,15,0.01,2.0072743480052786
118,15,0.025,1.9991199701929956
119,15,0.05,1.982957208508222
120,15,0.075,1.9963889266632178
121,15,0.1,1.9324174941626042
122,15,0.25,1.7920846639891348
123,15,0.5,1.516534085606355
124,15,0.75,1.4705807862427385
125,15,1.0,1.386066427005237
126,16,0.01,2.0284517205929236
127,16,0.025,1.9660289512526807
128,16,0.05,1.9704293369652346
129,16,0.075,1.9177887794360968
130,16,0.1,1.9653375687443582
131,16,0.25,1.7774983101436401
132,16,0.5,1.606746858072749
133,16,0.75,1.5114736696279731
134,16,1.0,1.4028265280497223
135,17,0.01,2.0503397685515745
136,17,0.025,2.0831692508420367
137,17,0.05,2.0041579885920697
138,17,0.075,1.9537997670294747
139,17,0.1,1.9058567020908237
140,17,0.25,1.7242004385485599
141,17,0.5,1.5364442403846343
142,17,0.75,1.4382930903357414
143,17,1.0,1.3095786719379614
144,18,0.01,2.0455482914636454
145,18,0.025,2.037702348147951
146,18,0.05,1.9798578656288814
147,18,0.075,1.9752347720557335
148,18,0.1,1.9062049321369132
149,18,0.25,1.7927684550598348
150,18,0.5,1.5448926145435822
151,18,0.75,1.4655284608563033
152,18,1.0,1.337856312861403
153,19,0.01,2.0120417937272697
154,19,0.025,2.0556722064727406
155,19,0.05,2.0064883786385943
156,19,0.075,1.8946851798152426
157,19,0.1,1.909186184696761
158,19,0.25,1.7245880913876102
159,19,0.5,1.6252555930564094
160,19,0.75,1.4450206851654093
161,19,1.0,1.34564529416107
162,20,0.01,1.9784527007226416
163,20,0.025,2.0071325461894753
164,20,0.05,1.9687019936858219
165,20,0.075,1.940697623414966
166,20,0.1,1.9055894110062521
167,20,0.25,1.745736370106508
168,20,0.5,1.5073853843166187
169,20,0.75,1.3384989040654016
170,20,1.0,1.3296719576507119
171,21,0.01,1.9424931954409121
172,21,0.025,1.969003367548333
173,21,0.05,1.903447872371582
174,21,0.075,1.9358144628029814
175,21,0.1,1.8539309180753758
176,21,0.25,1.6999068773609896
177,21,0.5,1.5420229579856128
178,21,0.75,1.3945439951670338
179,21,1.0,1.3582927207906144
180,22,0.01,2.01593884021041
181,22,0.025,1.924477822068373
182,22,0.05,1.9821198443255899
183,22,0.075,1.9131798512085263
184,22,0.1,1.926918699851826
185,22,0.25,1.7549808014974202
186,22,0.5,1.5370126373767894
187,22,0.75,1.3420454332727179
188,22,1.0,1.3729924559583235
189,23,0.01,1.9971926138159413
190,23,0.025,1.9593264421664394
191,23,0.05,1.960613860864889
192,23,0.075,1.9273393802411354
193,23,0.1,1.8998421308889135
194,23,0.25,1.7375957040123406
195,23,0.5,1.5722298841324545
196,23,0.75,1.3498676399951517
197,23,1.0,1.3415713507881568
198,24,0.01,2.0105000205135832
199,24,0.025,2.030002110133567
200,24,0.05,1.904466599583782
201,24,0.075,1.9120680478617933
202,24,0.1,1.8929306009403728
203,24,0.25,1.739188917715345
204,24,0.5,1.561147278269594
205,24,0.75,1.4627621117987575
206,24,1.0,1.3339379775587483
207,25,0.01,1.9850566457769787
208,25,0.025,1.9805303349113963
209,25,0.05,1.9342389149398258
210,25,0.075,1.8669829319763647
211,25,0.1,1.911673055688385
212,25,0.25,1.6666058509293231
213,25,0.5,1.4735961997855975
214,25,0.75,1.2877318688754746
215,25,1.0,1.3417892786850976
216,26,0.01,2.001280107398525
217,26,0.025,1.9675899474406204
218,26,0.05,1.9364559405585444
219,26,0.075,1.944574614638519
220,26,0.1,1.86856417209885
221,26,0.25,1.7781442516058474
222,26,0.5,1.5129170854300886
223,26,0.75,1.3648902324174053
224,26,1.0,1.3618567939767852
225,27,0.01,1.9883294156763736
226,27,0.025,1.916370204060204
227,27,0.05,1.9538341378823514
228,27,0.075,1.9351195158053942
229,27,0.1,1.9286618111238445
230,27,0.25,1.7389537242381259
231,27,0.5,1.4854064262017221
232,27,0.75,1.3684785452170658
233,27,1.0,1.2632182929714135
234,28,0.01,1.948797019835995
235,28,0.025,1.9747129680358242
236,28,0.05,1.9765443796071072
237,28,0.075,1.9141578296547266
238,28,0.1,1.8876943235865102
239,28,0.25,1.6833303271217934
240,28,0.5,1.489497125506456
241,28,0.75,1.3692535256143703
242,28,1.0,1.2935082687459296
243,29,0.01,1.9567331364348322
244,29,0.025,1.9276354562562465
245,29,0.05,1.881295919826731
246,29,0.075,1.9252164793668332
247,29,0.1,1.8849603648619286
248,29,0.25,1.6844293636425718
249,29,0.5,1.4966222105234852
250,29,0.75,1.3370163202264482
251,29,1.0,1.3285005542075279
252,30,0.01,1.9486440581536728
253,30,0.025,1.9478168308466595
254,30,0.05,1.8960095655301163
255,30,0.075,1.874722996450581
256,30,0.1,1.848810280961569
257,30,0.25,1.69835583094644
258,30,0.5,1.463417603318443
259,30,0.75,1.344953885960975
260,30,1.0,1.3383257842353524
261,31,0.01,1.9450335937962162
262,31,0.025,2.002970259645232
263,31,0.05,1.9343944192488527
264,31,0.075,1.8637799755687938
265,31,0.1,1.8777074678536048
266,31,0.25,1.6959603734326212
267,31,0.5,1.4448302928034664
268,31,0.75,1.4744051551882205
269,31,1.0,1.3017970969019306
270,32,0.01,1.9865424397290399
271,32,0.025,1.9397419394726905
272,32,0.05,1.921097162101745
273,32,0.075,1.8087715127631858
274,32,0.1,1.8378579764877099
275,32,0.25,1.6660547739977671
276,32,0.5,1.5096034367199938
277,32,0.75,1.4212054387841535
278,32,1.0,1.2304575574471697
279,33,0.01,1.9421781202226533
280,33,0.025,1.9016517505436559
281,33,0.05,1.9408748490539134
282,33,0.075,1.8479201230382758
283,33,0.1,1.8588873868102693
284,33,0.25,1.685174185456959
285,33,0.5,1.5333802077549494
286,33,0.75,1.3820661492775326
287,33,1.0,1.379762077204341
288,34,0.01,1.954936216333027
289,34,0.025,1.869145983385872
290,34,0.05,1.913186889269448
291,34,0.075,1.8636241436685443
292,34,0.1,1.8772140611186527
293,34,0.25,1.6721756414886624
294,34,0.5,1.4623442865167817
295,34,0.75,1.3782260170748994
296,34,1.0,1.2351649233732385
297,35,0.01,1.9664972293360004
298,35,0.025,1.9507717119019503
299,35,0.05,1.8939605936759385
300,35,0.075,1.937944154913109
301,35,0.1,1.8804692099195899
302,35,0.25,1.6463558062444097
303,35,0.5,1.4500238072634701
304,35,0.75,1.4421454390873887
305,35,1.0,1.2874449179742289
306,36,0.01,1.920534028563206
307,36,0.025,1.926537874201272
308,36,0.05,1.8999823723588447
309,36,0.075,1.8574388831617297
310,36,0.1,1.727702419199142
311,36,0.25,1.703709483149714
312,36,0.5,1.502691607836491
313,36,0.75,1.280052237903134
314,36,1.0,1.3442268303758649
315,37,0.01,1.9222077277141283
316,37,0.025,1.8880988270823469
317,37,0.05,1.923827045912061
318,37,0.075,1.8807279712615852
319,37,0.1,1.829463553542384
320,37,0.25,1.6728091606713757
321,37,0.5,1.4627092964214778
322,37,0.75,1.3209945824937934
323,37,1.0,1.319550725261295
324,38,0.01,1.9257361562822766
325,38,0.025,1.8748522827225216
326,38,0.05,1.901330086392666
327,38,0.075,1.866667760421075
328,38,0.1,1.8498967553468075
329,38,0.25,1.678953695004287
330,38,0.5,1.416516944011713
331,38,0.75,1.3041329233971348
332,38,1.0,1.2836109548195944
333,39,0.01,1.8700921692955221
334,39,0.025,1.9074284150683258
335,39,0.05,1.7886046601793577
336,39,0.075,1.8538536903659386
337,39,0.1,1.767766367492908
338,39,0.25,1.658485503360045
339,39,0.5,1.489473361133662
340,39,0.75,1.3577949794279105
341,39,1.0,1.3066226676951294
342,40,0.01,1.9313178562551387
343,40,0.025,1.9447764025993877
344,40,0.05,1.8710840102637807
345,40,0.075,1.8655818291430855
346,40,0.1,1.824536112930681
347,40,0.25,1.6568405688460777
348,40,0.5,1.4570766291315982
349,40,0.75,1.2769474821084046
350,40,1.0,1.3437996668433714
351,41,0.01,1.8708343871985846
352,41,0.025,1.855886739978482
353,41,0.05,1.8091631345788048
354,41,0.075,1.771639046008466
355,41,0.1,1.844883263967528
356,41,0.25,1.626439543647197
357,41,0.5,1.4461573879990528
358,41,0.75,1.3235987936445053
359,41,1.0,1.3298465754131472
360,42,0.01,1.9440810884344604
361,42,0.025,1.8721938782490923
362,42,0.05,1.848163276799057
363,42,0.075,1.79853024813346
364,42,0.1,1.7991173124438324
365,42,0.25,1.732199326873551
366,42,0.5,1.4442970115155447
367,42,0.75,1.326815210410568
368,42,1.0,1.2578618891883044
369,44,0.01,1.9118599505724942
370,44,0.025,1.883719029458324
371,44,0.05,1.890380175457083
372,44,0.075,1.829639638621705
373,44,0.1,1.7552844917999755
374,44,0.25,1.693624853964888
375,44,0.5,1.4325910215119428
376,44,0.75,1.3461262540783112
377,44,1.0,1.3855186596700184
378,45,0.01,1.8974363352264296
379,45,0.025,1.8947111159785388
380,45,0.05,1.8742059881003899
381,45,0.075,1.8460357455758718
382,45,0.1,1.801053882875224
