,auc_rnx,pearsonr,cca_stress,mds_isotonic,sammon_nlm,n_neighbors,min_dist
0,0.22500684264680215,0.010415076816708887,984102.222131402,0.9947538949289341,0.33314098321680136,2,0.0010000000000000007
1,0.22068272254194887,0.010564334369591666,988609.9949898295,0.996496838280336,0.33345381342445335,2,0.002154434690031885
2,0.22092648791370587,0.008341521564717286,993311.3771753618,0.9967709802564972,0.33290578971633616,2,0.004641588833612782
3,0.22569792749199244,0.03462760286412436,966811.10210551,0.9948135434088469,0.33061371007438367,2,0.009999999999999998
4,0.2293549824231679,0.02051396252642085,978726.4820932471,0.9957271753834189,0.33234835073279423,2,0.021544346900318843
5,0.2241296905517743,0.0155081332540834,991153.5025822166,0.9964552833107672,0.33321251102543414,2,0.0464158883361278
6,0.23000513980307952,0.021128237212870753,971675.4794710928,0.9992316052693607,0.3384988168688884,2,0.09999999999999999
7,0.2250808984906835,0.008113780339158041,983061.0254398054,0.9972276657900734,0.3366784098343215,2,0.21544346900318836
8,0.22559443339370966,0.00923357385512035,982593.1297829996,0.9977157591275712,0.3366374324529134,2,0.46415888336127786
9,0.22122747335825668,0.023197714242255352,968696.295956241,0.9967233680137213,0.3358929197620462,2,1.0
10,0.4290818695933332,0.13370466380099383,868042.4217065441,0.9729124301694212,0.33134112264349236,3,0.0010000000000000007
11,0.4465307821309156,0.22862030122567434,753972.4796242855,0.9617654951296529,0.33651789570282675,3,0.002154434690031885
12,0.4288454809227966,0.1451276105889132,873253.1346715098,0.970828604554756,0.331589085472984,3,0.004641588833612782
13,0.42853387772155055,0.15849330542890772,840782.2991795475,0.9749019533554676,0.33597202846000856,3,0.009999999999999998
14,0.4407876147037804,0.1517269457283005,831104.7245524147,0.9716819870211796,0.3313969623599181,3,0.021544346900318843
15,0.4079776310662528,0.10976777312043341,844859.9582633746,0.9828186671667697,0.34052424529143643,3,0.0464158883361278
16,0.4043774241665507,0.018656837698209503,950135.130174428,0.9940811233074947,0.35483216083748614,3,0.09999999999999999
17,0.4459418418749008,0.20116659009191704,801994.1638355947,0.9613388931081716,0.3300182820383495,3,0.21544346900318836
18,0.4185352944553138,0.12992642835484974,876437.8699589027,0.9730103575117397,0.32598618383725086,3,0.46415888336127786
19,0.3395364302895995,0.167760147824446,846862.4483298626,0.9744538012245111,0.32606906366767185,3,1.0
20,0.4794003316289473,0.3083687012972362,696007.6192024506,0.9375820629202051,0.328484704290817,4,0.0010000000000000007
21,0.4742061944471058,0.2733629771887199,738424.6620837721,0.9441987295006392,0.31976880875356073,4,0.002154434690031885
22,0.47474066559404704,0.3116168830624094,701735.7036170352,0.9319843896932107,0.32562088140861195,4,0.004641588833612782
23,0.48361110590505413,0.32084913551000677,688369.7049764106,0.9323742937913985,0.32920530027474554,4,0.009999999999999998
24,0.48466123185092075,0.2870897337261061,704863.5795164525,0.9442823516206916,0.32906872356723593,4,0.021544346900318843
